sample_id,dataset,label,split
medhallu_0::hallucinated,medhallu,1,train
medhallu_0::factual,medhallu,0,train
medhallu_1::hallucinated,medhallu,1,train
medhallu_1::factual,medhallu,0,test
medhallu_10::hallucinated,medhallu,1,test
medhallu_10::factual,medhallu,0,train
medhallu_100::hallucinated,medhallu,1,train
medhallu_100::factual,medhallu,0,train
medhallu_1000::hallucinated,medhallu,1,train
medhallu_1000::factual,medhallu,0,test
medhallu_1001::hallucinated,medhallu,1,train
medhallu_1001::factual,medhallu,0,test
medhallu_1002::hallucinated,medhallu,1,train
medhallu_1002::factual,medhallu,0,test
medhallu_1003::hallucinated,medhallu,1,test
medhallu_1003::factual,medhallu,0,dev
medhallu_1004::hallucinated,medhallu,1,train
medhallu_1004::factual,medhallu,0,train
medhallu_1005::hallucinated,medhallu,1,train
medhallu_1005::factual,medhallu,0,dev
medhallu_1006::hallucinated,medhallu,1,train
medhallu_1006::factual,medhallu,0,train
medhallu_1007::hallucinated,medhallu,1,dev
medhallu_1007::factual,medhallu,0,dev
medhallu_1008::hallucinated,medhallu,1,dev
medhallu_1008::factual,medhallu,0,train
medhallu_1009::hallucinated,medhallu,1,train
medhallu_1009::factual,medhallu,0,test
medhallu_101::hallucinated,medhallu,1,train
medhallu_101::factual,medhallu,0,train
medhallu_1010::hallucinated,medhallu,1,dev
medhallu_1010::factual,medhallu,0,train
medhallu_1011::hallucinated,medhallu,1,train
medhallu_1011::factual,medhallu,0,dev
medhallu_1012::hallucinated,medhallu,1,train
medhallu_1012::factual,medhallu,0,train
medhallu_1013::hallucinated,medhallu,1,train
medhallu_1013::factual,medhallu,0,test
medhallu_1014::hallucinated,medhallu,1,train
medhallu_1014::factual,medhallu,0,train
medhallu_1015::hallucinated,medhallu,1,dev
medhallu_1015::factual,medhallu,0,test
medhallu_1016::hallucinated,medhallu,1,train
medhallu_1016::factual,medhallu,0,test
medhallu_1017::hallucinated,medhallu,1,train
medhallu_1017::factual,medhallu,0,test
medhallu_1018::hallucinated,medhallu,1,dev
medhallu_1018::factual,medhallu,0,train
medhallu_1019::hallucinated,medhallu,1,train
medhallu_1019::factual,medhallu,0,dev
medhallu_102::hallucinated,medhallu,1,dev
medhallu_102::factual,medhallu,0,dev
medhallu_1020::hallucinated,medhallu,1,train
medhallu_1020::factual,medhallu,0,train
medhallu_1021::hallucinated,medhallu,1,train
medhallu_1021::factual,medhallu,0,train
medhallu_1022::hallucinated,medhallu,1,train
medhallu_1022::factual,medhallu,0,train
medhallu_1023::hallucinated,medhallu,1,dev
medhallu_1023::factual,medhallu,0,train
medhallu_1024::hallucinated,medhallu,1,train
medhallu_1024::factual,medhallu,0,train
medhallu_1025::hallucinated,medhallu,1,train
medhallu_1025::factual,medhallu,0,train
medhallu_1026::hallucinated,medhallu,1,train
medhallu_1026::factual,medhallu,0,dev
medhallu_1027::hallucinated,medhallu,1,train
medhallu_1027::factual,medhallu,0,train
medhallu_1028::hallucinated,medhallu,1,train
medhallu_1028::factual,medhallu,0,train
medhallu_1029::hallucinated,medhallu,1,train
medhallu_1029::factual,medhallu,0,test
medhallu_103::hallucinated,medhallu,1,test
medhallu_103::factual,medhallu,0,train
medhallu_1030::hallucinated,medhallu,1,test
medhallu_1030::factual,medhallu,0,train
medhallu_1031::hallucinated,medhallu,1,train
medhallu_1031::factual,medhallu,0,test
medhallu_1032::hallucinated,medhallu,1,test
medhallu_1032::factual,medhallu,0,train
medhallu_1033::hallucinated,medhallu,1,train
medhallu_1033::factual,medhallu,0,test
medhallu_1034::hallucinated,medhallu,1,train
medhallu_1034::factual,medhallu,0,train
medhallu_1035::hallucinated,medhallu,1,train
medhallu_1035::factual,medhallu,0,test
medhallu_1036::hallucinated,medhallu,1,dev
medhallu_1036::factual,medhallu,0,train
medhallu_1037::hallucinated,medhallu,1,train
medhallu_1037::factual,medhallu,0,train
medhallu_1038::hallucinated,medhallu,1,dev
medhallu_1038::factual,medhallu,0,train
medhallu_1039::hallucinated,medhallu,1,train
medhallu_1039::factual,medhallu,0,train
medhallu_104::hallucinated,medhallu,1,train
medhallu_104::factual,medhallu,0,train
medhallu_1040::hallucinated,medhallu,1,test
medhallu_1040::factual,medhallu,0,train
medhallu_1041::hallucinated,medhallu,1,train
medhallu_1041::factual,medhallu,0,train
medhallu_1042::hallucinated,medhallu,1,train
medhallu_1042::factual,medhallu,0,train
medhallu_1043::hallucinated,medhallu,1,dev
medhallu_1043::factual,medhallu,0,train
medhallu_1044::hallucinated,medhallu,1,train
medhallu_1044::factual,medhallu,0,test
medhallu_1045::hallucinated,medhallu,1,train
medhallu_1045::factual,medhallu,0,train
medhallu_1046::hallucinated,medhallu,1,train
medhallu_1046::factual,medhallu,0,dev
medhallu_1047::hallucinated,medhallu,1,train
medhallu_1047::factual,medhallu,0,dev
medhallu_1048::hallucinated,medhallu,1,dev
medhallu_1048::factual,medhallu,0,train
medhallu_1049::hallucinated,medhallu,1,train
medhallu_1049::factual,medhallu,0,train
medhallu_105::hallucinated,medhallu,1,train
medhallu_105::factual,medhallu,0,train
medhallu_1050::hallucinated,medhallu,1,train
medhallu_1050::factual,medhallu,0,train
medhallu_1051::hallucinated,medhallu,1,train
medhallu_1051::factual,medhallu,0,test
